Название праздника,Дата проведения,Суть праздника,Место проведения,
День родного языка и письменности,13 февраля,"Праздник учредили его в 1996 году указом первого президента республики Михаила Николаева Дата выбрана не случайно. 3 февраля – день рождения Семена Андреевича Новгородова (1892–1924). Семен Андреевич - лингвист, уроженец Боотурусского улуса. Он разработал якутский алфавит на основе международного фонетического алфавита, и в 1917 году выпустил первый букварь. До него якутская кириллица не была унифицирована, и большинство населения оставалось неграмотным. Новый алфавит внедрили в школы в 1920–1921 годах, а с 1924 года на него перевели книгоиздание. В 2026 году мероприятия приурочены к Году культуры в Якутии и Году единства народов России.","Конкретного места проведения нет. Праздник из года в год отмечается разными событиями, но все они посвящены памяти родному языку и письменности. В 2026 году был проведен торжественный вечер в Государственном театре оперы и балета и Доме дружбы народов в Якутске, с награждением премиями имени Новгородова и других лингвистов; были проведены «Бараховские чтения» в Верхневилюйском районе. Так же 13 февраля в 2026 году запустили проект «Языковое возрождение: семьи Якутии» с участием лингвиста Дмитрия Петрова. Цель - вовлечь семьи в ежедневное общение на родных языках (юкагирском, эвенском, эвенкийском, долганском)",saha_alphabet
День народного мастера,5 марта,"Праздник появился в 2012 году по указу президента республики, а в 2026 году его отметили в десятый раз, мероприятия приурочили к Году единства народов России и Году культуры в Якутии. Праздник посвящён мастерам, которые работают с деревом, костью, металлом, берестой, создают национальную одежду и украшения. На сегодня в республике 325 человек носят почётное звание «Народный мастер Республики Саха (Якутия)» и ещё 781 имеют звание «Мастер народных художественных промыслов»",Главное событие - шествие в национальных костюмах. Оно проходит 5 марта в Якутске. В 2026 году в нём участвовали более 1200 человек из 25 районов и столицы,narodny_master
День оленевода,6 марта,"Этот профессиональный праздник учредили в 2020 году указом главы республики, а отмечать его начали с 2021 года. Основная цель — повысить престиж профессии оленевода, признать его роль как хранителя традиционного образа жизни и промыслов коренных малочисленных народов Севера. На момент празднования в 2026 году в республике насчитывалось 166,7 тысячи голов оленей. Большая часть из них (164,8 тысячи) содержится в сельхозпредприятиях, фермерских хозяйствах и у индивидуальных предпринимателей. Оленеводством занимаются в 20 районах Якутии, включая арктические территории. В отрасли задействованы 107 организаций и 13 фермерских хозяйств, а в составе оленеводческих бригад трудятся 1232 человека, из которых 997 оленеводы и 235 чумработницы",Оленьи гонки - соревнования проводят на упряжках и верхом на оленях.,den_olenevoda
День Арктики,19 марта,"Для Якутии этот день имеет особое значение. Почти половина территории республики (около 1,6 млн кв. км) относится к Арктической зоне. Сюда входят 13 районов — Абыйский, Аллаиховский, Анабарский, Булунский, Верхнеколымский, Верхоянский, Жиганский, Момский, Нижнеколымский, Оленекский, Среднеколымский, Усть-Янский и Эвено-Бытантайский . До 2019 года в этот список входило лишь пять улусов, но республика добилась расширения зоны указом президента РФ.",,arktica
День охотника,3 апреля,"В Якутии охота является основой традиционного образа жизни, которая передается из поколения в поколение. У народов Якутии искусство охоты всегда было особо почитаемо, оно часто помогала выжить в периоды, когда скот был истощен. Республика обладает крупнейшей в РФ территорией, пригодной для охоты. Общая площадь охотничьих угодий составляет более 240 млн гектаров (78,1% территории). По состоянию на 20 февраля 2026 года, более 127 тысяч якутян имеют охотничьи билеты. В арсенале охотников зарегистрировано более 165 тысяч единиц оружия, что является одним из самых высоких показателей в стране.","Празднование начинается с традиционных обрядов. В некоторых наслегах, например в Кюпцах, проводят обряд очищения дымом, обряд «Сулганни», поклонение Матери Земле и Духу Огня, а завершают всё хороводным танцем единения",ohotnik
День Республики Саха (Якутия),27 апреля,"День Республики - это главный государственный праздник Якутии, который отмечается ежегодно 27 апреля. Это официальный выходной день в регионе.
 Праздник привязан к двум важнейшим историческим событиям, произошедшим в этот день:
 1. Образование Якутской АССР (1922 год). 
 2. Принятие Конституции Республики Саха (Якутия) (1992 год)","В 2026 году: 
 Ежегодные церемонии и награждения: возложения цветов к памятникам основателям республики . На площади Республики: торжественная церемония вручения паспортов молодым активистам и знаков отличия ГТО. 
 Концерты: На главной площади и в Доме дружбы народов имени А.Е. Кулаковского прошли праздничные концерты «Республика наших сердец» и «Единая Республика» с участием более 20 артистов.
 Выставки: В историческом парке «Россия - Моя история» открылась мультимедийная выставка «Единством сильны», посвященная культуре народов Якутии . На аллее спорткомплекса «Дохсун» состоялась ярмарка мастеров народного творчества",saha
День песни,21 мая,"Праздник учрежден в 2022 году (в 2025 году впервые был отпразднован) главой республики, и является значимым событием для народов Якутии, так как республика обладает богатейшими вокальными традициями: в Якутии существует 1467 действующих вокальных коллективах при культурно-досуговых учреждениях, в которых занимаются более 18 тысяч человек. Всего в республике насчитывается около 25 тысяч исполнителей. 47 коллективов носят звание народных: 18 хоров и 29 вокальных ансамблей. Два коллектива удостоены звания «Заслуженный коллектив Российской Федерации»: Чепаринский мужской народный хор Чурапчинского района и детский ансамбль «Кэнчээри» из Усть-Алданского района.","В 2025 году площадь Орджоникидзе  прошел концерт «Песни, окрыленные Победой!», посвященный 80-летию Победы в Великой Отечественной войне",penie
День сайылыка,22 мая,"Учреждён указом главы республики в 2018 году. В переводе с якутского «сайылык» означает «летник». Это сезонное поселение, куда семьи скотоводов переезжали на лето, чтобы пасти скот на богатых пастбищах, заготавливать молоко и мясо. Как правило, сайылыки строили подальше от зимовья, ближе к местам с хорошими пастбищами, покосами, ягодными лесами, рыбными озёрами и реками. В короткое якутское лето здесь пасли скот и заготавливали сено и дрова на долгую зиму, а заодно давали отсыревшим за зиму юртам и хотонам просохнуть и проветриться.
 В старину существовали самые разные поверья: Гадание на ложке, обряд для духа хотона, кормление огня (в первый день на сайте старшие рода бросали в огонь кусочки пищи, прося у духов благословения).
 Сегодня по приезде в сайылык по-прежнему устраивают маленький Ысыах: семьи собираются вместе, старшие совершают обряд благословения и благодарят духов за пережитую зиму . Женщины готовят традиционные блюда: оладьи, саламат, утиный суп, обязательно присутствуют кумыс и мясо. Проводятся спортивные состязания: перетягивание палки, бег, борьба хапсагай.",,saylyk
День осуохая,25 мая,"Осуохай - это якутский национальный круговой танец, который сопровождается хоровым импровизационным пением . Его корни уходят в глубокую древность и связаны с религиозными верованиями древних якутов. Круговые танцы отражали культ солнца, а сакральные пение и движения изначально были восхвалением бога Айыы в образе небесного светила. Участники переплетают пальцы рук и двигаются по кругу по ходу солнца. Тексты песен, воспевают красоту мироздания, просят у божеств благословения и желают всеобщего благоденствия. Интересно, что существует несколько региональных разновидностей осуохая — якутский, усть-алданский, амгинский, олекминский, вилюйский, которые отличаются движениями и исполнением песен. Массовое исполнение осуохая сегодня - это символ сплочения и единения многонационального народа Якутии, торжества светлых начал, мира и добра.","В 2026 году: 
 в академическом театре имени П.А. Ойунского состоялось торжественное собрание с участием вице-премьера Сергея Местникова и министра культуры Афанасия Ноева, где вручили награды и благодарственные письма
  
 Массовый танец, который в 2026 году прошёл на площади Орджоникидзе в Якутске",osuohai
Ысыах (Новый год),21 июня,"Древнейший праздник встречи лета и обновления жизни. Слово «Ысыах» происходит от глагола «ыс», что означает «кропить», «окроплять» . Это связано с обрядом праздника -окроплением кумысом, который является священным напитком и символом изобилия. Название напрямую указывает на суть ритуала: жертвенное возлияние небесным божествам Айыы, от которых, по верованиям якутов, зависит благополучие людей.
 Празднование Ысыаха наполнено глубоким сакральным смыслом и состоит из нескольких обязательных этапов:
 Встреча Солнца: с первыми лучами восходящего солнца люди протягивают к нему руки, как бы набирая в ладони солнечную энергию и тепло на весь предстоящий год. Считалось, что в этот момент открывается граница между миром людей и миром божеств Айыы, и те, кто не участвовал в обряде, теряли небесную силу .
 Обряд благословения Алгыс, который проводит специально приглашенный благословитель (алгысчыт) . Он обращается к небесным божествам и духам местности с древними благословениями на якутском языке, прося ниспослать мир, благополучие и удачу всем собравшимся. 
 Ритуал окропления кумысом: используют ритуальный сосуд чорон, совершает три круга по ходу солнца, окропляя священным напитком небо, землю и огонь . Через этот акт люди вступают в диалог с божествами.
 Ещё одной частью праздника являются Спортивные состязания:
  Хапсагай - национальная борьба .
 Мас-рестлинг -перетягивание палки .
 Кылыы и Ыстанга -национальные прыжки.
 Конные скачки
   
 На Ысыах принято надевать лучшую, часто белую одежду и серебряные украшения. Праздничный костюм символизирует чистоту и защиту от злых сил. Праздничный стол обязательно изобилен. Традиционными блюдами являются отварное мясо (особенно жеребятина), саламат, оладьи, а также кумыс, который подают в больших резных кубках (чоронах).",,ysyakh
